;    Jazykový soubor pro češtinu kódovaný v UTF-8
834  "\r\nDruhý mnohoúhelník\r\n"
835  "Přesunout objekty do ( x,y ) nebo úhel natočení"
836  "Vložit objekty do výplně plochy"
837  "Piny komponent se překrývají !"
838  "volný text"
839  "\tReference"
840  "\tHodnota"
841  "\tPozice x"
842  "\tPozice y"
843  "\tOtočení"
844  "\tVrstva"
845  "volný text"
846  "Soubor komponenty"
847  "Komponent"
848  "Reference"
849  "Pozice x,y"
850  "Přední/zadní"
851  "Režim otáčení"
852  "Komponent : Reference/Hodnota/x/y/Otočení/Vrstva"
853  "Komponent : Reference/x/y/Otočení/Vrstva"
854  "Stupně otáčení  CCW"
855  "Stupně otáčení  CW"
856  "Rotační kvadrant CCW"
857  "Rotační kvadrant CW"
858  "volný text"
859  "volný text"
860  "Vlevo"
861  "Vpravo"
862  "Nahoru"
863  "Dolu"
864  "Vertikální umístění"
865  "Horizontální umístění"
866  "Vertikálně"
867  "Horizontálně"
868  "Zarovnání pinů komponent"
869  "Zarovnání na střed komponent"
870  "Rovnoměrně umístěné komponenty ( střed komponent )"
871  "Jsou potřebné více než dva komponenty !"
872  "%s zakázáno"
873  "Chyba při připojení ! ( síť %s )"
874  "Kontrola připojení sítě je zakázána !"
875  "Chyba připojení !"
876  "Připojení je v pořádku :o)"
877  "Průvodci jsou neviditelní"
878  "Některá připojení jsou zastrčena"
879  "Trasy dokončeny"
880  "Změnit barvu"
881  "volný text"
882  "Další vrstvy"
883  "Vrstvy tras"
884  "Přední pady"
885  "Zadní pady"
886  "Vnitřní pady"
887  "Obrys komponent"
888  "Chyby"
889  "volný text"
890  "Režim výplně plochy"
891  "Typ vrtání"
892  "Pájecí maska/pasta padů"
893  "Výchozí nastavení"
894  "Viditelné objekty"
895  "Celé"
896  "Orámovat"
897  "Plný režim výplně plochy"
898  "Žádná"
899  "Pouze další objekty"
900  "volný text"
901  "Zobrazit pájecí masku/pastu padů"
902  "Zobrazit chyby/varování"
903  "Zobrazit všechny chyby/varování"
904  "volný text"
905  "volný text"
906  "Trasa %s\t%s"
907  "Trasa padu %s\t%s"
908  "Otvor přes pad %s\t\t"
909  "Otvor přes čtvercový pad %s\t\t"
910  "Otvor přes polygon pad %s\t\t"
911  "Vrtací otvory padu %s\t\t"
912  "Průchodka %s\t\t"
913  "Neprokovené vrtání %s\t\t"
914  "Kruhový pad %s\t%s"
915  "Obdélníkový pad %s\t%s"
916  "Polygoní pad %s\t%s"
917  "Pin trasy %s\t%s"
918  "Pin oblouku %s\t%s"
919  "Trasa oblouku %s\t%s"
920  "Tenká čára %s\t"
921  "Obrys desky zůstane zachován\t\t"
922  "Napájecí plocha\t%s"
923  "Výplně plochy %s\t%s"
924  "Čistá šířka trasy\t%s"
925  "Mezera sítě\t%s"
926  " ( není úplně obklopen mědí )"
927  "Mřížka speciálních možností"
928  "Mřížka při přesouvání komponent"
929  "Mřížka při kreslení tras"
930  "Velikost mřížky >=100nm"
931  "Velikost mřížky komponent >=100nm"
932  "Velikost mřížky tras >=100nm"
933  "Zvýrazněno"
934  " ( v síti )"
935  "Vložit vrstvu"
936  "Vyměnit vrstvy"
937  "Vybrat pouze jednu vrstvu"
938  "Vybrat dvě vrstvy"
939  "volný text"
940  "volný text"
941  "volný text"
942  "volný text"
943  "Chyba výplně ploch !"
944  "Tento soubor obsahuje objekty, které nejsou touto verzí plně podporovány"
945  "Chyba při otevírání souboru !"
946  "Chyba komponent !\r\nAktualizovat komponenty/síťový seznam ?"
947  "Exportní trasy vrstvy penplotu %i "
948  "Objekty vrstvy %d"
949  "Export vrtání"
950  "volný text"
951  "volný text"
952  "volný text"
953  "volný text"
954  "volný text"
955  "volný text"
956  "volný text"
957  "volný text"
958  "Gerber soubory :"
959  "Polarita"
960  "Název vrstvy"
961  "Soubor clony ( tabulka kol )"
962  "Soubory vrtání :"
963  "Soubor vrtání"
964  "Vrtání"
965  "Soubor nástrojů vrtání"
966  "Specifikace exportu gerberu :"
967  "Potlačení"
968  "Vedoucí nula"
969  "Souřadnice"
970  "Absolutní"
971  "Informační test :"
972  "Neutrální soubor ( test PCB )"
973  "specifikace :"
974  "Velikost PCB ( šířka, výška )"
975  "volný text"
976  "Pozice PCB ( x,y )"
977  "Tloušťka desky"
978  "Materiál"
979  "Tloušťka mědi"
980  "Počet vrstev"
981  "Minimální šířka trasy"
982  "Minimální mezera"
983  "volný text"
984  "volný text"
985  "volný text"
986  "Nástroje vrtání [ %s ]"
987  "nástroj     typ       průměr mm thou     počet vrtání"
988  "Prokovené"
989  "Neprokovené"
990  "Dokončit"
991  "Kreslit s 45/90° směrech"
992  "Kreslit všemi směry"
993  "Přejít na předchozí bod"
994  "volný text"
995  "Velikost obdélníku šířka, výška"
996  "Průměr kruhu"
997  "Šířka/výška horizontální trasy"
998  "Šířka/výška vertikální trasy"
999  "Chyba při výpočtu výplně plochy !\r\n"
1000 "Souřadnice %.5f mm, %.5f mm\r\n"
1001 "Vyloučení objektu z výplně plochy !"
1002 "Komplexní"
1003 "Obrys desky ( neexistující/chyby ) nebude použit pro výpočet napájecí plochy.\r\n"
1004 "Místo toho bude použita počáteční velikost PCB"
1005 "Různé sítě výplně plochy"
1006 "Různé vrstvy výplně plochy"
1007 "Rozdílná mezera výplně plochy\r\nOk, pokračujte"
1008 "Různé tepelné reliéfy výplně plochy\r\n\r\nPoužívejte s tepelnými reliéfy ( ANO ), nebo žádné tepelné reliéfy ( NE ) ?"
1010 "Výplně plochy do komplexu"
1011 "Výplně plochy nepřekrývejte"
1012 "volný text"
1013 "Výřez napájecí plochy\t%s\t%s\t%i"
1014 " ( tepelná úleva )"
1015 "Hlavní mnohoúhelník [ %d vrcholy ]"
1016 ".... ( Zobrazí se pouze prvních 3000 vrcholů )\r\n"
1017 "\r\n\r\nVrcholy začínají mnohoúhelníkem ( %d )\r\n\r\n"
1018 "Mnohoúhelník : %i Vrcholy"
1019 "Přidejte mnohoúhelníkové body ( x1,y1,x2,y2,x3,y3,x4,y4, .... )"
1020 "Měřítko mezi 0.1 .. 10"
1021 "Tisk připraven."
1022 "Vygenerován soubor plotu ( Plot.txt )."
1023 "Export bitmapy - %s"
1024 "Nelze otevřít soubor ! %s"
1025 "Plocha je %.5f cm² ( %.6f palce²)"
1026 "Vrstva %i %i ( %i )"
1027 "Vrstva výplně plochy %i síť %s"
1028 "Vrstva výplně plochy %i síť %s %i ( %i )"
1029 "Nalezena %ix chyba/varování !"
1030 "Chyba/varování !"
1031 "Nalezeno %ix varování !"
1032 "Nalezena %ix chyba !"
1033 "Žádné chyby pravidla rozložení :o)"
1034 "volný text"
1035 "volný text"
1036 "Potisk\t\tPřední"
1037 "Potisk\t\tZadní"
1038 "Potisk\t\tPřední\tReference"
1039 "Potisk\t\tPřední\tHodnoty"
1040 "Potisk\t\tZadní\tReference"
1041 "Potisk\t\tZadní\tHodnoty"
1042 "volný text"
1043 "volný text"  
1044 "volný text"
1045 "volný text"
1046 "Polygon"
1047 "%s\t%s\t\t\t\t%d vrcholy\t\t%s"
1048 "volný text"
1049 "volný text"
1050 "volný text"
1051 "volný text"
1052 "volný text"
1053 "volný text"
1054 " ( Uzavřený výřez uživatele )"
1055 " ( Odpojení uživatele )"
1056 "Napájecí plocha\t%s\t%s\t%i"
1057 "Výřez napájecí plochy\t%s\t%s\t%i"
1058 "volný text"
1059 "volný text"
1060 "Nepřipojené !"
1061 "Pin není připojen !"
1062 "Výpočet vodítek pro síť %s"  
1063 "Nelze kreslit na napájecí plochu !"
;1064 "Délka %.1f thou Úhel %.1f°"
1065 "Délka %.4f mm Úhel %.1f°"
1066 "Úhel %.1f°"
1067 "Přidat řádek ( x1,y1,x2,y2,x3,y3,x4,y4, .... )"   
1068 "Přidejte řádek do ( x2, y2 )"
1069 "Přidat obdélník ( šířka, výška, [ střed x, střed y ] )"
1070 "Přidat obdélník ( šířka, výška )"
1071 "Přidat obdélník ( střed x, střed y )"
1072 "Přidat oblouk ( šířka, výška ), [ střed x, střed y ], [ startÚhlu, konecÚhlu ])"
1073 "Přidat oblouk ( šířka, výška ), [ startÚhlu, konecÚhlu ]"
1074 "Přidat oblouk ( startÚhlu, konecÚhlu )"
1075 "Přidat kruh ( průměr, [ střed x, střed y ] )"
1076 "Přidat kruh ( střed x, střed y )"
1077 "Přidat text ( x,y )"
1078 "Šířka z %i tras(y) nelze změnit"
1079 "Mezera z %i tras(y) nelze změnit"
1080 "Mezera z %i průchodek nelze změnit"
1081 "%i průchodka(y) nelze změnit"
1082 "Nenašli jsme pin"
1083 "Přesunout trasy/průchodky ( x,y )"
1084 "Výběr trasy/průchodky může mít jen jednu síť !"
1085 "volný text"
1086 "volný text"
1087 "Nekomprimovaný"
1088 "Komprimovaný"
1089 "Změnit výplň plochy"
1090 "Tepelná úleva"
1091 "Přidat tepelné úlevy"
1092 "Kopírovat text do schránky"
1093 "volný text"
1094 "Výplň plochy\tVrstva %s\tSíť %s\tPočet vrcholů %i"
1095 "Výřez výplně plochy\tVrstva %s\tSíť %s\tPočet vrcholů %i"
1096 "Objekt\tVrstva\tSíť\tPočet vrcholů\tTypy výřezu"
1097 "Výběr"
1098 "Seřadit podle názvu sítě"
1099 "Seřadit podle šířky trasy"
1100 "Vzory"
1101 "Druhá barva vzoru"
1102 "Barva pozadí"
1103 "Změnit druhou barvu"
1104 "volný text"
1105 "volný text"
1106 "volný text"
1107 "Přidat body lomené čáry ( x1,y1,x2,y2,x3,y3,x4,y4, .... )"
1108 "%d komponent bylo nahrazeno."
1109 "Šířka nebo výška oblouku je nula"
1110 "Uchopte první místo kompozice"
1111 "volný text"
1112 "volný text"
1113 "volný text"
1114 "Získejte textové informace výplně plochy"
1115 "volný text"
1116 "volný text"
1117 "volný text"
1118 "Výplň plochy do zdrojového kódu"
1119 "volný text"
1120 "volný text"
1121 "Pravidla vybraných sítí se změnily\r\n\r\n"
1122 "volný text"
1123 "volný text"
1124 "volný text"
1125 "Napájecí plochy nejsou podporovány !"
1126 "Kopírovat reference na potisk komponent"
1127 "Kopírovat hodnoty na potisk komponent"
1128 "Převést obrys desky na obrys komponent"
1129 "Pájecí maska na průchodky"
1130 "Začít text piny geometrie"
1131 "Uložit rozložení jako geometrii"
1132 "volný text"
1133 "Získat definici průchodky 5"
1134 "Získat definici průchodky 6"
1135 "Získat definici průchodky 7"
1136 "Získat definici průchodky 8"
1137 "Získat definici průchodky 9"
1138 "Získat definici průchodky 10"
1139 "Nastavit definici průchodky 5"
1140 "Nastavit definici průchodky 6"
1141 "Nastavit definici průchodky 7"
1142 "Nastavit definici průchodky 8"
1143 "Nastavit definici průchodky 9"
1144 "Nastavit definici průchodky 10"
1145 "Průchodka"
1146 "Průměr padu"
1147 "Průměr vrtání"
1148 "Pájecí maska"
1149 "Nastavit"
1150 "Trasa"
1151 "Šířka trasy/mezery"
1152 "Název sítě\tTrasa\tMezera\tPrůchodka"
1153 "Aktuální"
1154 "volný text"
1155 "Materiál"
1156 "Tloušťka mědi"
1157 "volný text"
1158 "Přidat tepelné úlevy průchodek"
1159 "volný text"
1160 "Export dat vrtání jako gerber soubor"
1161 "Soubor vrtání gerber"
1162 "volný text"
1163 "volný text"
1164 "volný text"
1165 "Vychozi"
1166 "Získat počet použitých pinů"
1167 "Počet použitých pinů : %d"
1168 "volný text"
1169 "Trasa\tMezera\tNázev sítě\tPrůchodka"
1170 "Zrušit výběr předních komponent"
1171 "Zrušit výběr zadních komponent"
1172 "Vybrat přední komponenty"
1173 "Vybrat zadní komponenty"
1174 "Vybrat přední/zadní komponenty"
1175 "Přesunout/otočit/změnit komponenty ( pouze přední )"
1176 "Přesunout/otočit/změnit komponenty ( pouze zadní )"
1177 "Oprava po každé trase"
1178 "Oprava po každém přesunutí komponent"
1179 "Nezobrazovat chyby výplně plochy tenkých čar"
1180 "Změnit pravidla sítě"
1181 "volný text"
1182 "volný text"
1183 "volný text"
1184 "volný text"
1185 "volný text"
1186 "volný text"
1187 "volný text"
1188 "volný text"
1189 "volný text"
1190 "volný text"
1191 "volný text"
1192 "volný text"
1193 "Vypnout"
1194 "Křížek x"
1195 "Křížek +"
1196 "volný text"
1197 "Komponent : Reference/Vrstva/Geometrie/Hodnota/x/y/Jednotka/Otočení"
1198 "Mřížka při kreslení výplně/napájecí plochy"
1199 "Velikost mřížky výplně plochy >=100nm"
1200 "volný text"
1201 "Režim uchopení"
1202 "volný text"
1203 "Několik nastavení"
1204 "Jít na souřadnice x,y"
1205 "Zobrazení informačních oken myši"
1206 "sekund"
1207 "Aktivovat po"
1208 "Viditelné do"
1209 "Začít s maximálním zobrazením"
1210 "Aktivovat"
1211 "Opakovat"
1212 "volný text"
1213 "volný text"
1214 "volný text"
1215 "volný text"
1216 "volný text"
1217 "volný text"
1218 "volný text"
1219 "volný text"
1220 "volný text"
1221 "volný text"
1222 "volný text"
1223 "volný text"
1224 "volný text" 
1225 "volný text"
1226 "volný text" 
1227 "volný text"
1228 "volný text"
1229 "volný text"
1230 "volný text"
1231 "volný text"
1232 "Upravit schéma s referencí %s"
1233 "Vybrat komponent s číslem dílu %s"
1234 "Vybrat komponent s geometrií %s"
1235 "Vybrat komponent s hodnotou %s"
1236 "Zrušit výběr komponenty s číslem dílu %s"
1237 "Zrušit výběr komponenty s geometrií %s"
1238 "Zrušit výběr komponenty s hodnotou %s"
1239 "Vybrat komponent"
1240 "Vybrat všechny komponenty podle čísla dílu"
1241 "Vybrat všechny komponenty podle geometrie"
1242 "Vybrat všechny komponenty podle hodnoty"
1243 "Zrušit výběr všech komponent podle čísla dílu"
1244 "Zrušit výběr všech komponent podle geometrie"
1245 "Zrušit výběr všech komponent podle hodnoty"
1246 "Vybrat komponenty"
1247 "volný text"
1248 "Vybrat komponenty podle čísla dílu"
1249 "Zrušit výběr komponent podle čísla dílu"
1250 "Vybrat komponenty podle geometrie"
1251 "Zrušit výběr komponent podle geometrie"
1252 "Vybrat komponenty podle hodnoty"
1253 "Zrušit výběr komponent podle hodnoty"
1254 "volný text"
1256 "Vybrat komponenty ze seznamu"
1257 "Seřazeno podle"
1258 "Reference\tPřední/Zadní\tHodnota\tGeometrie\t\t\t\tČíslo dílu"
1259 "Geometrie\tReference\tPřední/Zadní\tHodnota\t\tČíslo dílu"
1260 "Hodnota\tReference\tPřední/Zadní\tGeometrie\t\t\t\tČíslo dílu"
1261 "Číslo dílu\tReference\tPřední/Zadní\tHodnota\t\tGeometrie"
1262 "Geometrie"
1263 "Cislo dilu"
1264 "%s\t\tPřední\t%s\t%s\t%s"
1265 "%s\t\tZadní\t%s\t%s\t%s"
1266 "%s\t%s\t\tPřední\t%s\t\t%s"
1267 "%s\t%s\t\tZadní\t%s\t\t%s"
1268 "Přesunout komponenty"
1269 "Zobrazení na střed komponenty"
1270 "Upravit soubor více uživatelů"
1271 "volný text"
1272 "Obrys umístění"
1273 "volný text"
1274 "Změna tloušťky výkresu"
1275 "Kopírovat počáteční polygon do Info 4"
1276 "Měřit"
1277 "Hodnota komponenty/číslo dílu"
1278 "SMD/THT komponenty"
1279 "Speciální možnosti"
1280 "Číslo dílu"
1281 "volný text"
1282 "Přidat další sloupec pro neumístěné komponenty"
1283 "volný text"
1284 "Přepínač zvýraznění sítě zap/vyp"
1285 "volný text"
1286 "volný text"
1287 "volný text"
1288 "Možnost vyplnění plochy pro výplň poklopu"
1289 "Skrýt viditelné připojení"
1290 "%d vybraných objektů"
1291 "Změnit síť"
1292 "Různé tepelné reliéfy výplně plochy\r\n\r\nPoužijte největší tloušťku tepelného reliéfu"
1293 "Různé tepelné reliéfy výplně plochy\r\n\r\nPoužijte největší tepelnou vzdálenost"
1294 "Otočit o 90° CCW"
1295 "Otočit v libovolném úhlu CCW"
1296 "Otočit každých 45° CCW"
1297 "Otočit každých 90° CCW"
1298 "Otočit v zadaném libovolném úhlu CCW"
1299 "volný text"
1300 "volný text"
1301 "volný text"
1302 "Vybrat trasy/průchodky ze stejné sítě"
1303 "Vybrat výplně plochy ze stejné sítě"
1304 "Přesunout/otočit komponent s automatickým zoomem"
1305 "Přidat průchodku"
1306 "Odříznout z výpně plochy start polygonu"
1307 "palce/mm"
1308 "volný text"
1309 "volný text"
1310 "volný text"
1311 "volný text"
1312 "Zadní montáž"
1313 "Montáž\tZadní"
1314 "volný text"
1315 "Montáž zadní vrstvy"
1316 "Přední montáž"
1317 "Montáž\tPřední"
1318 "volný text"
1319 "Montáž přední vrstvy"
1320 "volný text"
1321 "Hledat síť"
1322 "Zobrazit sítě [ %i sítí ]"
1323 "Viditelné síťové připojení [ %i sítí ]"
1324 "Zakázat síťové připojení [ %i sítí ]"
1325 "Vybrané sítě [ %i sítí ]"
1326 "Hledat komponent"
1327 "Nastavit pouze pravidla sítě"
1328 "Nastavit pravidla sítě a také změnit všechny trasy/průchodky/výplně plochy"
1329 "volný text"
1330 "%s nenalezeno !"
1331 "Použít kolečko myši pro přiblížení/oddálení" 
1332 "Stiskni klávesu Alt a rolovacím kolečkem myši pro přiblížení/oddálení"
1333 "volný text"
1334 "Komponenty\tZadní"
1335 "volný text"
1336 "Komponenty zadní vrstvy"
1337 "volný text"
1338 "Komponenty\tPřední"
1339 "volný text"
1340 "Komponenty přední vrstvy"
1341 "volný text"
1342 "volný text"
1343 "volný text"
1344 "volný text"
1345 "Objekt\tVrstva\tPozice x,y\t\tVelikost\t\t\tOtočení\tSíť\tOstatní" 
1346 "%.4f , %.4f - %.4f , %.4f\tšířka %.4f délka %.4f mezera %.4f\t%.1f°"
1347 "Kruh"
1348 "%.4f , %.4f\t\tprůměr %.4f šířka čáry %.4f\t"
1349 "%.4f , %.4f\t\tprůměr %.4f mezera %.4f\t"
1350 "Čára"
1351 "%.4f , %.4f - %.4f , %.4f\tšířka %.4f délka %.4f\t%.1f°" 
1352 "Obdélník pad"
1353 "%.4f , %.4f\t\tšířka %.4f výška %.4f\t"
1354 "Text"
1355 "%.4f , %.4f\t\tšířka %.4f výška %.4f\t%.1f°"
1356 "Objekt\tVrstva\tPozice x,y\t\tVelikost\t\t\tSíť\tOstatní"
1357 "Trasa\tzadní\t"
1358 "Trasa\tpřední\t" 
1359 "Trasa\tvrstva %i\t"
1360 "\tšířka "
1361 " mezera "
1362 "Průchodka\t\t"
1363 "\t\tprůměr "
1364 " vrtání "
1365 " mezera "
1366 "Objekt\tVrstva\tSíť\tPočet vrcholů\tVelikost paměti\tPočet výřezů\tTyp výřezu\t\tOstatní"
1367 "Výplň plochy\t%s\t%s\t%i"
1368 "\t%i\t%i\tuživatel %d, vnitřní %d, termální %d\t%d"
1369 "Komponent\tVrstva\tGeometrie\tHodnota\tPozice x,y\t\tOtočení"
1370 "%s       \tpřední\t%s  \t%s    \t%s , %s\t%.1f°"
1371 "%s       \tzadní \t%s  \t%s    \t%s , %s\t%.1f°"
1372 "Oblouk" 
1373 "%.4f , %.4f\t\tšířka %.4f d %.4f v %.4f\t%.1f° , %.1f°"
1374 "Kruhový pad" 
1375 "%.4f , %.4f\t\tprůměr %.4f"
1376 "%.4f , %.4f\tšířka %.4f d %.4f v %.4f mezera %.4f\t%.1f° , %.1f°"
